DA10102	VI SORBITS
DNE0329	SIDDHALEPA VITAL TEA 25S
DNE0330	SIDDHALEPA CLEANSE TEA 25S
DNE0331	PRASARA BODY PURIFYING TONIC
DNE0332	VIVAMOM VANILA
DNE0333	VIVAMOM ALMOND SAFFRON
DNE0334	SENATOGEN-G
DNE0335	SANGSU BLUE BUTTERFLY PEA TEA  20S
DNE0336	MORIN - PRO CAPSULE 60S
DNE0337	VITAGEN
DNE0338	FOLIMOR 1MG TABLET
DNE0339	RAJAPURA DIABETIC POWDER
DNE0340	ENSURE VANILLA
DNE0341	ENSURE DIABETES CARE VANILLA DELIGHT
DNE0342	PEDIASURE VANILLA DELIGHT
DNE0343	MEGATONE SYRUP
DNE0345	FITMED TABLET 30S
DNE0346	GLUCON D - MANGO BLAST
DNE0347	GNP THEBU POWDER
DNE0348	GNP HEEN BOVITIYA POWDER
DNE0349	NATURELLE ASHWAGANDHA CAPSULE
DNE0350	FADNA DIABE TEA SABARAGAMUWA 20S
DNE0351	SETHSUWA LIV HEALTH CAPSULE 60S
DNE0352	SETHSUWA SUPER MAN CAPSULE 60S
DNE0353	SETHSUWA AYU LAX CAPSULE 60S
DNE0354	SETHSUWA MEMORY BOOST CAPSULE 60S
DNE0355	SETHSUWA DIABE CURE CAPSULE 80S
DNE0356	A/N ASHWAGANDHA CAPSULE 60S
DNE0357	A/N HEENBOVITIYA CAPSULE 60S
DNE0358	A/N ACTIVATED CHARCOAL CAPSULE 60S
DNE0359	A/N ALOE VERA CAPSULE 60S
DNE0360	A/N GURMAR CAPSULE 60S
DNE0361	A/N GREEN COFFEE BEAN ORG. CAPSULE 60S
DNE0362	A/N MORINGA ORG. CAPSULE 60S
DNE0363	A/N YAKI NARANG LEAVES CAPSULE 60S
DNE0364	A/N MARGOSA ORG. CAPSULE 60S
DNE0365	A/N GARCINIA ORG. CAPSULE 60S
DNE0366	A/N KATUPILA CAPSULE 60S
DNE0367	BHAGYA ATAPANGUWA TEA BAG 10S
DNE0368	ZINCO-B SYRUP
DNE0369	ZINCO-B CAPSULE
DNE0370	BONI D TABLET
DNE0371	D-LUX 1000 TABLET
DNE0372	IRPO-FA CHEWABLE TABLET
DNE0373	NATURELLE HEENBOWITIYA CAP 60S
DNE0374	NATURELLE THEBU CAPSULE 60S
DNE0375	SETHSUWA PASPANGUWA
DNE0376	SETHSUWA PASPANGUWA BANDED 25GX3
DNE0377	OSUVITA
DNE0378	ALPHADOL 0.25MCG CAPSULE
DNE0379	BOOST ORIGINAL VANILLA
DNE0380	BOOST ORIGINAL CHOCOLATE
DNE0381	PRINCIPLE COLLAGEN TABLET 20S
DNE0382	PERFECTIL HAIR TABLET
DNE0383	GERICARE TABLET
DNE0384	JOINTACE FORTE TABLET
DNE0385	RENOCARE OD TABLET
DO10401	STREPSILS POUCH OF 2 LOZENGES
DO10409	STREPSILS ORIGINAL - BOX OF 24
DO10410	STREPSILS & VIT.C BOX OF 24
DO10412	STREPSILS HONEY&LEMON 24'S
DO10414	STREPSILS HONEY & LEMON(POUCH)
DO10415	STREPSILS COOL
DO10805	HACKS MEDICATED LOZENGES.
DO30103	ORREPASTE
DO30104	ORALEEZ GEL
DO30105	MUCOPAIN
DO30201	METROGYL DENTA GEL 20G.
DO31304	HEXIGEL
DO35101	THERMOSEAL RA TOOTH PASTE
DO50301	DECON NASAL DROPS.
DO50302	DECON N/D PAEDIATRIC
DO52001	NASIVION NASAL DROP ADULT 0.05%
DO52002	NASIVION NASAL DROP PAEDIATRIC 0.025%
DO70101	BETADINE SOLUTION (GARGLE
DO70209	GINIRAJA TOOTHACHE CARE
DO70607	FLOMIST NASAL SPRAY
DO70609	NASONEX NASAL SPRAY 0.05%
DO70610	NASWASH NASAL SPRAY 0.9%
DO70612	NASOCLEAR DROPS
DO70613	METASPRAY
DO70616	FLUTICONE NASAL SPRAY 50MCG
DO70617	BUDEMATE NS 64MCG
DO71809	CORSODYL MOUTH WASH 200ML
DO71811	HEXIDINE MOUTH WASH
DO71812	HEXIDINE MOUTH WASH
DO72301	CANDID MOUTH PAINT
DO74701	GLYCERINE S.B.MED.
DOE0004	SINAREST-PD NASAL DROPS
DOE0005	SINAREST NASAL DROPS
DOE0006	BLANX CLASSIC WHITE
DOE0007	BLANX STAIN REMOVAL
DOE0010	VALMELIX LOZENGE
DOE0012	MENTHOSIL ORANGE/MINT LOZENGE
DOE0013	MENTHOSIL ORANGE/MINT POUCH
DOE0014	BUDEHALE NASAL SPRAY 64MCG
DOE0015	FLUTIHALE 50MCG NASAL SPRAY
DOE0016	UNIVERSAL GLYCERIN
DOE0017	SENSODYNE FRESH GEL TOOTHPASTE
DOE0018	SENSODYNE FRESH MINT TOOTHPASTE
DOE0019	ECO BALM TOOTHACHE DROP
DOE0020	IVATHERM LIP BALM
DOE0021	SINAREST-S NASAL SOLUTION
DOE0022	OXI FRESH HERBAL MOUTHWASH
DOE0023	BETADINE GERMICIDE GARGLE
DP01301	TETANUS TOXOID 0.5ML AMP.
DR10101	SPMC SALBUTAMOL 2MG TABLET
DR10111	SPMC SALBUTAMOL 4MG TABLET
DR10206	ASTHALIN DP CAPS. 200MCG.
DR10207	ASTHALIN DP 400MCG
DR10210	SEROFLO-250 DP CAPS.
DR10211	SEROFLO 500 DP CAPS.
DR10214	FLUTIHALE DP 500MCG CAPSULE
DR10603	ALLEGRA 120MG. TABLETS
DR10604	ALLEGRA 180MG TABLET
DR10608	FEXET TABS.120MG.(FEXOFENADINE
DR10611	ALRIN 60 TABLET
DR10612	ALRIN 180MG TABLET
DR10613	ALRIN 120MG TABLET
DR10614	FEXET 60MG TABLETS
DR10615	FEXET 180MG
DR10616	FEXOFENADINE HCL 120MG
DR10617	FEXOFENADINE HCL 180MG
DR10841	MONTIGET TABLETS 5MG.
DR10843	MONTIGET 10MG
DR10845	MONTAIR 10MG
DR10846	MONTIGET 4MG CHEWABLE TABLET
DR10849	MONTELUKAST 5MG
DR10850	MONTELUKAST 10MG
DR10901	ZYPENT 10MG TABLET
DR11302	NUELIN SR 250MG TABLET
DR11402	DERIPHYLLIN RETARD 150MG
DR11403	DERIPHYLLIN RETARD 300MG
DR11404	THEOFIN PR 125MG
DR11707	BECLATE - 200 DP CAPS
DR11708	BECLATE - 400 DP CAPS
DR11710	FORACORT 400MCG
DR11806	FORMOHALE 400
DR11807	FORMOHALE DP 200MCG CAPSULE
DR12105	ALLERMINE 4MG
DR12501	ASTIFEN TABLETS
DR12701	CETRIZET 10MG TABLET
DR12704	RONEX 10MG
DR12706	**CETRIZINE 10MG.TAB.SPC
DR12723	ZEOS TABLETS 10MG
DR12725	ZYNCET TABLETS 10MG.
DR12726	ALERID TABLETS
DR12728	GETCET 5MG TABLET
DR12730	LEZYNCET 5MG
DR12731	RUPA 10MG
DR13001	PERITOL TABLETS
DR13801	SOLMUX CAPSULES
DR15201	ATALIN TABLETS
DR15202	TURBUTE 2.5MG
DR15314	LORINOL 10MG.TABLETS(CHEW)
DR15315	DESLORIN 5MG.TAB-DESLORATADINE
DR15316	LORIDIN 10MG TABLETS
DR15321	LORID 10MG
DR15323	LOREZ 10MG
DR15326	DESLORAT 5MG TABLET
DR20301	ATALIN SYRUP
DR20804	TURBUTE SYRUP 100ML
DR20903	THEOFIN SYRUP 100ML
DR22101	PIRITON SYRUP
DR22103	ALLERMINE SYRUP 2MG/5ML 100ML
DR22104	CHLOFEN SYRUP
DR22111	PIRITON EXPECTORANT
DR22116	PHENYCOF JUNIOR
DR22117	PHENYCOF ADULT
DR22224	ALERID SYRUP
DR22230	ZEOS SYRUP 60ML
DR22231	DESLORIN SYRUP 60ML
DR22237	DESLORAT SYRUP
DR22501	ASTIFEN SYRUP
DR22607	RONEX SYRUP 60ML
DR22608	ZYNCET SYRUP
DR23101	SOLVIN ELIXIR
DR24111	COSOME COUGH SYRUP
DR24112	COSOME EXPECTORANT
DR24304	TUS Q-DX SYRUP
DR24401	DERIPHYLLIN SYRUP
DR25101	VALMELIX SYRUP
DR25102	BEAM WALPENELA AMUKKARA SYRUP
DR25103	BEAM THULSI SYRUP
DR25104	BEAM PAWATTA THALSOOKIRI SYRUP
DR25113	BEAM VALMEE SYRUP
DR25114	PASYALE COUGH SYRUP
DR25115	THULSI SAHANA COUGH SYRUP
DR25117	HEALING HERBS COUGH SYRUP
DR25118	WANAMANDAWE COUGH SYRUP
DR25119	BEAM PAWATTA THALSOOKIRI-N.A.S
DR25120	PROSPAN COUGH SYRUP
DR25201	SIDDHALEPA LAKPEYAWA
DR25202	LAKPEYAWA SACHET 2G
DR25203	SIDDHALEPA COUGH SYRUP
DR70208	VENTOLIN EVOHALER 100MCG.
DR70308	TIOVA INHALER 9MCG
DR70312	BECLATE 250MCG INHALER
DR70404	FORACORT INHALER 400MCG
DR70405	FORMONIDE 400 HFA
DR70806	SPACER DEVICE
DR70902	SERETIDE EVOHALER 25/125MCG.
DR70903	SERETIDE EVOHALER 25/250MCG.
DR70910	SEROFLO-250 INHALER
DR70911	BEXITROL F 25/250 INHALER
DR71606	DP HALER.
DR71804	SYMBICORT TURBUHALER 160/4.5MC
DR72304	NAZOLIN NASAL SPRAY
DRE0001	FORACORT 200MCG
DRE0005	PIRFENEX 200MG TABLET
DRE0006	FORACORT INHALER 200MCG
DRE0010	REVOLIZER
DRE0012	FORB 400 HFA
DRE0014	FLUSAL 250 HFA
DRE0015	SALTROL INHALER 25/125MCG
DRE0016	SALTROL INHALER 25/250MCG
DRE0018	VENTEK 5MG TABLET
DRE0019	VENTEK 10MG TABLET
DRE0020	XADINE 60MG
DRE0021	XADINE 120MG
DRE0022	XADINE 180MG
DRE0024	FENADIN 120MG TABLET
DRE0026	FORTIDE INHALER 200MCG + 6MG
DRE0028	BRONCODIL
DRE0030	NEO LORIDIN 5MG
DRE0031	FEXIGRA 120MG
DRE0032	FEXIGRA 180MG
DRE0035	LAKPEYAWA SACHET 6'S
DRE0036	SEROFLO 125 HFA INHALER
DRE0038	VENTELUCAST 10MG
DRE0039	DUOHALE
DRE0040	BARAKA COFSID COUGH SYRUP
DRE0042	FORMOFLOW TRANSHALER 250MCG
DRE0046	SALHALE DP 200MCG CAPSULE
DRE0047	SALHALE DP 400MCG CAPSULE
DRE0048	FLUTIHALE DP 250MCG CAPSULE
DRE0049	BECLOHALE DP 200MCG CAPSULE
DRE0050	BECLOHALE DP 400MCG CAPSULE
DRE0051	TIOHALE DP 18MCG CAPSULE
DRE0052	BENOF-EX SOLUTION
DRE0053	LORYT SOLUTION
DRE0054	CHLOFEN SOLUTION
DRE0058	SPMC THEOPYLLINE ER 125MG TABLET
DRE0059	SUPRES COUGH SYRUP
DRE0060	MONTELUK 10MG TABLET
DRE0061	BABY MASK FOR SPACER DEVICE
DRE0062	NEBZMART NEBULIZATION CARE KIT
DRE0064	CHLOR-MOR 4MG TABLET
DRE0065	BUTEROL SYRUP
DRE0066	FLEMNIL EXPECTORANT LIQUID
DRE0067	SINAREST LINCTUS
DRE0068	ELTUSS-H  COUGH SYRUP
DRE0069	DURALYN CR 200MG CAPSULE
DRE0070	MONOCAST 4MG CHEWABLE TABLET
DS30105	ELLGY PLUS CREAM
DS30202	AQUEOUS CREAM.
DS30204	VASLINE 100G
DS30208	EMULSIFYING OINTMENT
DS30222	EASY GLIDE LUBRICANT 3'S
DS30229	CURADERM
DS30231	DERMADRATE DRY SKIN TREATMENT
DS30232	DERMAVEEN MOISTURISING CREAM
DS30233	SOLECARE CREAM
DS30234	TYNUS UNDER CLEAR CREAM
DS30242	DEWDERM
DS30243	MOIST SKIN
DS30301	ELOMET CREAM 0.1%
DS30416	BEPRASONE CREAM
DS30417	BEPRASONE OINTMENT
DS30419	BEPROSALIC OINTMENT 15G.
DS30502	BETADERM CREAM
DS30504	BETADERM OINTMENT
DS30506	BETADERM N CREAM
DS30508	BETADERM N OINTMENT
DS30514	CANDID , B CREAM
DS30516	CANDID CREAM
DS30526	SILVER SULFADIAZINE CREAM
DS30531	POWERCORT CREAM
DS30550	SUPRICORT , N CREAM
DS30551	SOFRADEX CREAM
DS30552	CANDID-B CREAM
DS30553	SOFRAMYCIN CREAM
DS30556	BETAMIL M CREAM
DS30568	BETASONE CREAM
DS30611	CLODERM OINTMENT 0.05% 15
DS30612	CLODERM CREAM 15G
DS30614	ZINCODERM S OINTMENT
DS30618	ENDERM CREAM 0.05%
DS30619	ENDERM GM CREAM
DS30707	MYCORAL CREAM 2%
DS31106	POLYMYCIN TOPICAL OINT
DS31212	ADAFERIN GEL 15G
DS31219	BENZAC AC 5%
DS31220	ACNES SEALING GEL
DS31229	DERIVA C GEL
DS31301	NIZORAL CREAM
DS31303	FUNGITOP 2% GEL
DS31503	HAPPYNAP CREAM
DS31603	ACNES SCAR CARE GEL
DS31705	BETAMETHASONE CREAM 15G.SPC
DS31710	BECLOMIN OINTMENT
DS31820	ASTROCORT 1% OINTMENT.
DS31821	ASTRO-CORT CREAM 1% TOPICAL
DS31822	ASTRO-CORT CREAM 0.5% TOPICAL
DS31825	HYDROCORTISONE ACETATE 1%CREAM
DS31900	FUSID CREAM 10G
DS31907	FOBAN CREAM 5G.
DS31910	FOBAN CREAM 15G
DS31916	SOFINOX CREAM
DS31917	METROGYL GEL
DS31918	MUPIRAX OINTMENT
DS31919	GERMACID CREAM
DS32004	EMLA CREAM 5G TUBES
DS32307	GERMACORT CREAM
DS32311	NUMOTAZINE (MEDITOZINE)
DS32411	CANDACORT CREAM 15G TUBE
DS33101	MEDODERMONE CREAM
DS33102	MEDODERMONE OINTMENT
DS33401	TETRA - CORT
DS34101	MYCORAL CREAM 2%
DS34301	DAKTARIN CREAM
DS34911	TRETIN-A CREAM
DS35101	BETADINE OINMENT
DS35109	SURGIDENE OINTMENT
DS35201	XYLOCAINE JELLY 2%
DS35205	LIDOCAINE HCL JELLY 2%
DS35311	BEAM FIEL OINTMENT
DS35602	HERPERAX OINTMENT 5%
DS37003	ACNES CREAMY WASH
DS37007	ACNES VITAMIN CLEANSER
DS38002	DERMAVEEN SOAP FREE WASH
DS40301	CANDID POWDER
DS40302	CANDID POWDER
DS60208	KETOPLUS SHAMPOO 60ML
DS60304	THE CALAMINE LOTION-FALCON
DS60406	BEPROGEL SOLUTION
DS60408	CLODERM SCALP APPLICATION .05%
DS60410	BECLOMIN LOTION
DS60412	BEPROSALIC
DS60501	CANDID LOTION
DS60511	LYCINE HEAD APPLICATION.
DS60801	BETADINE TOPICAL SOLUTION
DS60808	OXOFERIN STERILE SOLUTION
DS61308	OIL OF DERMAE
DS61310	CETAPHIL GENTLE SKIN CLEANSER
DS61313	CETAPHIL MOISTURINSING LOTION
DS61319	DERMAVEEN MOISTURISING LOTION
DS61322	CETAPHIL GENTLE SKIN CLEANSER
DS61323	CETAPHIL DAM LOTION
DS61324	SKINSPA BODY LOTION
DS61325	UVEBLOCK SPF 50+ FLUIDE
DS61328	AQUASOFT MOISTURISING LOTION
DS62902	MINOXIN LOTION.
DS63403	SOFFELL MOSQUITO REPELLENT 70M
DS63409	SOFFELL MOSQUITO (SPRAY)
DS63502	OLIVE OIL (CROWN PHARM.)
DS63513	KOHOMBA OIL - R'PURA
DS63601	KING COCONUT OIL (CROWN P
DS63603	BIO-OIL SKINCARE OIL
DS63605	NNO CAPSULES
DS63607	FACIA CAPSULE
DS63613	BIO-OIL SKINCARE OIL
DS64702	BENZYL BENZOATE APP.90ML-SPC
DS65001	OIL OF DERMAE HAIR CREAM
DS92801	SALON PAS MEDICAL PLASTER
DSE0001	KETOPLUS SHAMPOO
DSE0002	MOMSON CREAM 0.1%
DSE0009	ALOEXIPSORA SKIN GEL
DSE0017	ZYLO-P OINTMENT 5%
DSE0024	BARAKA SUPER HEAL
DSE0027	TRONOLANE CREAM
DSE0028	DANSEL-K LOTION
DSE0034	MOMATE 0.1% CREAM
DSE0036	CETAPHIL OILY SKIN CLEANSER
DSE0037	LOCERYL CREAM
DSE0043	FLUCORT MZ
DSE0049	ELLGY CORNS & WARTS
DSE0050	T3 MYCIN LOTION
DSE0052	GLYCO-A CREAM
DSE0056	HICARE HAND SANITIZER SPRAY
DSE0057	HICARE HAND SANITIZER SPRAY
DSE0069	TERBISIL 1% CREAM
DSE0070	OXOFERIN STERILE SOLUTION
DSE0073	MITONIL LOTION
DSE0074	GLENPAR CREAM 5%
DSE0075	MITONIL CREAM 5%
DSE0078	TICOVATE OINTMENT 0.005%
DSE0080	CLEAR CREAM 1%
DSE0081	PROVATE G CREAM
DSE0082	MOSTAL SOLUTION
DSE0085	BIO-OIL DRY SKIN GEL
DSE0086	MOBIT OINTMENT
DSE0087	MOBIT CREAM
DSE0090	DERM KETA CREAM 2%
DSE0094	BETZE OINTMENT
DSE0095	BETZE LOTION
DSE0098	FUSON CREAM
DSE0099	BENZODERM OINTMENT
DSE0100	TERBIZED CREAM 1%
DSE0101	MICOSON CREAM 2%
DSE0106	CETAPHIL MOISTURISING CREAM
DSE0114	MUCRO SUN CREAM SPF 50+
DSE0115	MUCRO SUN CREAM SPF 30+
DSE0116	MUCRO CRACK OUT FOOT CREAM
DSE0117	MUCRO DRY NIL MOISTURISING CREAM
DSE0120	DT MOISTURISING LOTION 
DSE0121	DT MOISTURISING CREAM
DSE0122	DT ACNE CLEANSER 
DSE0123	MUCRO ADVANCE CALAMINE LOTION 
DSE0124	MUCRO ADVANCE CALAMINE POWDER
DSE0125	BIO-OIL DRY SKIN GEL
DSE0126	PANCHA KESHI HERBAL HAIR OIL-R'PURA
DSE0127	UNIVERSAL AQUEOUS CREAM
DSE0128	UNIVERSAL AQUEOUS CREAM
DSE0129	UNIVERSAL WHITE SOFT PARAFFIN
DSE0130	UNIVERSAL WHITE SOFT PARAFFIN
DSE0131	UNIVERSAL EMULSIFYING OINTMENT
DSE0132	UNIVERSAL UREA AQUEOUS CREAM
DSE0133	UNIVERSAL CETRIMIDE SHAMPOO 5%
DSE0134	UNIVERSAL CETRIMIDE SHAMPOO 5%
DSE0135	UNIVERSAL CETRIMIDE SHAMPOO 10%
DSE0136	UNIVERSAL CETRIMIDE SHAMPOO 10%
DSE0139	MUCRO UV CARE SUNSCREEN GEL SPF 50+
DSE0140	MUCRO ACNE CARE FACE WASH
DSE0141	MOMADERM CREAM 0.1%
DSE0145	ARYU AFTER SUN CREAM
DSE0146	ARYU ALOE VERA SOOTHING GEL
DSE0147	MUCRO NORASH CREAM
DSE0148	MUCRO SKIN GLOW BATHING BAR
DSE0149	SILVIRIN CREAM
DSE0150	DERMAVEEN MOISTURISING LOTION
DSE0151	DERMAVEEN SOAP FREE WASH
DSE0152	DERMAVEEN OAT MEAL SHAMPOO 
DSE0153	DERMADRATE DRY SKIN TREATMENT
DSE0154	HEMITADINE SOLUTION 10%
DSE0156	UVEBLOCK SPF 30 DRY TOUCH
DSE0157	SENSYLIA 24H CREAM
DSE0158	ILCAPIL KR SHAMPOO
DSE0159	TEEN DERM GEL
DSE0160	NEOTONE GEL
DSE0161	EMZOLE CREAM
DSE0162	EMZOLE-F OINTMENT
DSE0163	HEALZ OINTMENT
DSE0164	EMDID CREAM
DSE0165	MUPRICON OINTMENT
DSE0166	BETAMET CREAM
DSE0167	KADERMIN POWDER SPRAY
DSE0168	MUCRO JUNIOR SUN CREAM SPF 30+
DSE0169	BIO-OIL SKINCARE OIL
DSE0170	KADERMIN CREAM
DSE0171	SITCOM CREAM
DSE0172	ACNEFLAM GEL
DSE0173	FRAMCIN SKIN CREAM
DSE0174	NIODERM FACE WASH
DSE0175	NIODERM FACE GEL
DSE0176	NIODERM MOISTUREIZER CREAM
DSE0177	NIODERM MOISTURISING LOTION
DSE0178	NIODERM SUPER SERUM
DSE0179	HYDRODERM SERUM
DSE0180	GERMIDINE SPRINKLING POWDER
DSE0181	GERMIDINE OINTMENT
DSE0182	JOINTACE GEL
DSE0183	CETAPHIL DAM LOTION
DSE0184	CETAPHIL MOISTURINSING LOTION
DSE0185	CETAPHIL MOISTURINSING LOTION
DSE0186	CETAPHIL MOISTURISING CREAM
DSE0187	CETAPHIL SUN SPF 30 LIGHT GEL
DSE0188	CETAPHIL SUN SPF 50+ LIGHT GEL
DSE0189	CETAPHIL GENTLE FOAMING CLEANSER
DSE0190	CETAPHIL PRO OIL CONTROL FOAM WASH
DSE0191	CETAPHIL BABY DAILY LOTION
DSE0192	CETAPHIL BABY DAILY LOTION ORG.CALENDULA
DSE0193	CETAPHIL BABY SHAMPOO
DSE0194	CETAPHIL BABY GENTLE W & SHAMPOO
DSE0195	CETAPHIL BABY A/P CREAM ORG.CALENDULA
DSE0196	CETAPHIL BABY DIAPER CREAM
DSE0197	CETAPHIL BABY W&S ORG.CALENDULA 
DSE0198	CETAPHIL SUN KIDS SPF 50+ LOTION
DSE0199	CETAPHIL BHR BRIGH. LOTION
DSE0200	CETAPHIL BHR BRIGH. CREAMY CLEANSER
DSE0201	CETAPHIL BHR BRIGH. NIGHT CREAM
DSE0202	CETAPHIL BHR BRIGH. DAY CREAM
DSE0203	CETAPHIL BHR BRIGH. REFRESH TONER
DSE0204	CETAPHIL GENTLE SKIN CLEANSER
DSE0205	CETAPHIL GENTLE SKIN CLEANSER
DSE0206	BILUMA ADVANCE FACE WASH
DSE0207	CALCIBET OINTMENT
DSE0208	TRAVAZOL CREAM
DSE0209	KOJIVIT ADVANCED PLUS GEL
DSE0210	BETADINE ANTISEPTIC CREAM
DSE0211	DERZOLE-B CREAM
DSE0212	ERBINOX CREAM
DSE0213	MOTIMESH CREAM
DSE0214	BIOFROST COLD THERAPY GEL
DSE0215	ACNE-LENE CREAM
DSE0216	SANDUN RAJA HAIR OIL
DT30101	VICKS VAPORUB
DT30102	VICKS VAPORUB
DT30103	VICKS VAPORUB
DT30106	VICKS VAPORUB
DT30201	SIDDHALEPA BALM
DT30202	SIDDHALEPA BALM
DT30203	SIDDHALEPA BALM
DT30205	SIDDHALEPA BALM
DT30207	SAMAHAN SP BALM
DT30208	SAMAHAN SP BALM
DT30209	SAMAHAN SP BALM
DT30210	IODEX 9G
DT30211	SAMAHAN SP BALM
DT30212	IODEX 18G
DT30213	IODEX 45G
DT30214	IODEX HEADFAST 9G
DT30215	IODEX 5G
DT30301	SIDDHALEPA BALM
DT30302	SIDDHALEPA BALM 2.5G
DT30505	BARAKA BALM
DT40102	BORIC ACID POWDER
DT40202	CONDYS
DT40302	MENTHOL 2G
DT40402	EPSOM SALT
DT42817	SUGAR FREE NATURA
DT42828	DIABETASOL SACHETS 50'S
DT60305	SAVLON 28ML
DT60401	DETTOL LIQUID
DT60403	DETTOL LIQUID
DT60408	DETTOL LIQUID
DT60501	AXE OIL
DT60601	AXE OIL
DT60805	SURGICAL SPIRIT
DT60806	ISO PROPYL ALCOHOL
DT60811	SURGICAL SPIRIT
DT60814	ISOPROPYL ALCOHOL 60ML.
DT60901	CITRO MOSQUITO REPELLENT
DT60902	CITRONELLA OIL
DT60914	HYDROGEN PEROXIDE 60ML
DT60915	MOSQUITO GUARD
DT60916	BEAM CITRONELLA OIL
DT70301	VICKS INHALER
DT70401	SIDDHALEPA INHALER
DT81205	OMRON HEM-7120 AUTOMATIC BP MONITOR
DT81209	CITIZEN CH-452 DIGITAL B.P.MONITOR
DT81506	ACCU-CHECK ACTIVE B/G MACHINE.
DT81810	OMRON DIGITAL THERMOMETER - MC 246
DT90201	ROUGH RIDER CONDOMS 3'S
DT90205	SATHUTA STUDDED CONDOMS 3S
DT90213	DUREX - PERFORMA 3'S
DT90221	STAMINA CONDOMS PKT.OF 3
DT90223	DUREX EXTRA SAFE
DT90225	MOODS ALLNIGHT
DT90227	MOODS CH/ST/BA
DT90228	MOODS ULTRA THIN
DT90229	MOODS SUPREME DOTTED
DT90231	MOODS ALLNIGHT 12 S
DT90233	MOODS ULTRA THIN 12 S
DT90234	MOODS DOTTED 12 S
DT90237	DUREX FETHERLITE
DT90303	PREETHI SUPER CONDOMS 3'S
DT90806	ACNE-AID BAR
DT90810	AQUASOFT BAR
DT90904	DETTOL PLASTER
DT90908	DETTOL PLASTER 10'S
DT91101	CARNATION CORN CAPS.5'S
DT91203	HCG PREGNANCY TEST STRIPS
DT91325	MEGA CHECK G/STRIP TD4207
DT91326	CONTROL AST GLUCO STRIPS
DT91332	PRODIGY STRIPS 25S
DT91337	O/T SELECT SIMPLE STR. 25'S
DT91338	MEGA CHECK G/STRIP TD4257
DT91501	PREETHI GOLD CONDOMS 3'S
DT93701	MIC.POR.TAPE W/O DIS.1/2"
DT93702	MIC.PORE PLAST.W.DISP.1/2
DT93703	MIC.PORE PLAST W/O DIS.1"
DT94110	MIC.POR.TAPE WITH DISP.1"
DT94139	LEUKOBAND 8CMX4/6M
DT94153	AIRPORE 2.5CMX5M
DT94154	AIRPORE 1.25CMX9.14M W. DIS.
DT94155	AIRPORE 1.25CMX5M
DT94156	AIRPORE 2.5CMX9.14M
DT94305	TERUMO SYRINGE1ML-100UX29
DT94307	TERUMO SYRINGE 5MLX23G.
DT94311	BD SYRINGE 100U
DT94478	COTTON BALLS 25G
DT94479	COTTON BALLS 100'S
DT94480	COTTON WOOL 20G (TAS-MED)
DT94481	COTTON WOOL 30G (TAS MED)
DT94482	COTTON WOOL 50G(TAS-MED)
DT94483	COTTON WOOL 100G (TAS-MED)
DT94484	COTTON WOOL 200G (TAS-MED)
DT94485	COTTON WOOL 500G (TAS-MED)
DT94486	SURGICAL GAUZE (TAS-MED)
DT94487	N/W GAUZE SPONGES 2"X4"-100'S
DT94489	COTTON WOOL PLEATS 50G
DT94490	COTTON WOOL PLEATS 100G
DT94491	COTTON WOOL 25G (CM)
DT94494	COTTON WOOL 200G (CM)
DT94495	COTTON WOOL 500G (CM)
DT94496	SOFTA CARE ALCOHOL SWABS
DT94509	SURGICAL GAUZE
DT94510	BANDAGES 2"X 3YDS.
DT94511	BANDAGES 2.5"X 3YDS
DT94512	BANDAGES 3"X5YDS.ROLLS
DT94519	COTTON CREPE 7.5CM*4.5M
DT94537	SURGICAL BANDAGE 3YDSX3
DT94621	NOVO FINE NEEDLE
DT94623	BD INSULIN PEN NEEDLE
DT94904	OPPO-2022 KNEE SUPPORT-S
DT94906	OPPO-2022 KNEE SUPPORT-M
DT94907	OPPO-2022 KNEE SUPPORT-L
DT94908	OPPO-2022 KNEE SUPPORT-XL
DT94920	OPPO-4091 CERVICAL COLLAR-S
DT94921	OPPO-4091 CERVICAL COLLAR-M
DT94922	OPPO-4091 CERVICAL COLLAR-L
DT95204	CHORD CLAMPS.
DT95603	URINE DRAINAGE BAG
DTE0009	ECO BALM OIL
DTE0010	ECO BALM OIL
DTE0012	ECO BALM RED
DTE0013	ECO BALM WHITE
DTE0040	BARAKA ACT FAST
DTE0052	BAUR PLAST
DTE0053	BAUR PLAST JUNIOR
DTE0060	SB EXAMINATION GLOVES - M
DTE0068	ISO PROPYL ALCOHOL
DTE0069	ISO PROPYL ALCOHOL
DTE0095	DYNA ARM SLING - M
DTE0099	ACCU-CHEK ACTIVE STRIPS 25'S
DTE0100	ACCU-CHEK ACTIVE STRIPS 10'S
DTE0101	ACCU-CHEK SOFTCLIX LANCETS
DTE0110	PJ KINESIOLOGY TAPE
DTE0112	PJ CO-BAND 7.5CM X 4.5M
DTE0114	SAFE GUARD DIS. 3PLY F/M E/L
DTE0117	ELIFE KNEE KNIT BRACE S
DTE0118	ELIFE KNEE KNIT BRACE M
DTE0119	ELIFE KNEE KNIT BRACE L
DTE0120	ELIFE ANKLE KNIT BRACE S
DTE0121	ELIFE ANKLE KNIT BRACE M
DTE0122	ELIFE ANKLE KNIT BRACE L
DTE0123	ELIFE ELBOW KNIT BRACE S
DTE0124	ELIFE ELBOW KNIT BRACE M
DTE0126	ELIFE COLD & HOT PACK
DTE0131	IODEX HEAD FAST
DTE0132	SAFE GUARD KN 95
